Player Name,Team,Aces,Service Errors,Service Attempts,Serves Per Match
J. Gutierrez,CUB,0,1,2,0.00
Fiel,CUB,0,0,3,0.00
Thondike,CUB,0,7,16,0.00
Rafael,POR,0,0,0,0
Cveticanin,POR,0,1,28,0.00
Alex,POR,0,0,0,0
Ivo Casas,POR,0,0,0,0
Violas,POR,0,3,15,0.00
Goncalo,POR,0,0,0,0
B. Dias,POR,0,2,4,0.00
J. Pinto,POR,0,9,22,0.00
Menezes,POR,0,0,0,0
Andre,POR,0,2,0,0.00
Onodera,JPN,0,2,5,0.00
Otsuka,JPN,0,1,7,0.00
Oya,JPN,0,2,13,0.00
Ogawa,JPN,0,0,0,0
Kai,JPN,0,3,6,0.00
Nishimoto,JPN,0,0,1,0.00
Nishiyama,JPN,0,0,2,0.00
Yamamoto,JPN,0,0,0,0
Eiro,JPN,0,1,13,0.00
Larry,JPN,0,2,23,0.00
Tümer,TUR,0,2,5,0.00
Matić,TUR,0,1,24,0.00
M. Lagumdzija,TUR,0,3,12,0.00
Hatipoğlu,TUR,0,0,0,0
B. Bayraktar,TUR,0,0,0,0
Muhammed K.,TUR,0,0,0,0
Can Koç,TUR,0,0,5,0.00
Kaplan,TUR,0,0,0,0
Graven,GER,0,0,0,0
Reichert,GER,0,3,9,0.00
John,GER,0,1,3,0.00
Zimmermann,GER,0,2,39,0.00
Krage,GER,0,0,0,0
Krick,GER,0,3,19,0.00
Burggräf,GER,0,1,1,0.00
Mohwinkel,GER,0,0,0,0
Torwie,GER,0,0,1,0.00
Nachev,BUL,0,0,3,0.00
Grozdanov,BUL,0,2,41,0.00
Tatarov,BUL,0,0,1,0.00
Zhelev,BUL,0,0,0,0
Antov,BUL,0,0,0,0
Palev,BUL,0,1,3,0.00
Dobrev,BUL,0,0,0,0
D. Kolev,BUL,0,0,0,0
Korenblek,NED,0,2,4,0.00
Keemink,NED,0,1,8,0.00
Van Der Ent,NED,0,4,14,0.00
Meijs,NED,0,0,0,0
Jorna,NED,0,0,0,0
Berkhout,NED,0,6,29,0.00
Klok,NED,0,0,0,0
Wijkstra,NED,0,0,0,0
Wiltenburg,NED,0,3,8,0.00
Y. Oughlaf,QAT,0,8,23,0.00
M. Alkuwari,QAT,0,1,0,0.00
Sulaiman,QAT,0,0,0,0
Belal,QAT,0,4,17,0.00
Waleed,QAT,0,2,5,0.00
Nikola,QAT,0,8,32,0.00
Naji,QAT,0,0,0,0
Abdallah,QAT,0,3,5,0.00
A. Bakry,QAT,0,2,4,0.00
Mahdi,QAT,0,0,0,0
Marovt,SLO,0,0,1,0.00
Bračko,SLO,0,1,2,0.00
Štalekar,SLO,0,0,1,0.00
Okroglič,SLO,0,0,0,0
Kovačič,SLO,0,0,0,0
Urnaut,SLO,0,0,0,0
Kržič,SLO,0,0,1,0.00
Najdič,SLO,0,1,4,0.00
Ibarra,CHI,0,1,2,0.00
Araya,CHI,0,0,3,0.00
Parraguirre,CHI,0,6,15,0.00
Gago,CHI,0,0,26,0.00
Albornoz,CHI,0,0,6,0.00
Bonacic,CHI,0,1,2,0.00
Mardones,CHI,0,0,0,0
Castillo,CHI,0,0,0,0
Valenzuela,CHI,0,3,20,0.00
Bravo,CHI,0,0,0,0
Banda,CHI,0,1,23,0.00
Popiwczak,POL,0,0,0,0
Komenda,POL,0,1,28,0.00
Szalpuk,POL,0,1,4,0.00
Granieczny,POL,0,0,0,0
Jakubiszak,POL,0,0,2,0.00
Sasak,POL,0,3,8,0.00
Nowak J.,POL,0,0,1,0.00
Firlej,POL,0,0,0,0
Huber,POL,0,7,30,0.00
Peta,ROU,0,8,17,0.00
Constantin,ROU,0,0,2,0.00
Dumitru,ROU,0,5,25,0.00
Kosinski,ROU,0,0,0,0
Butnaru,ROU,0,0,1,0.00
Kantor,ROU,0,0,0,0
Lupu,ROU,0,1,7,0.00
Ionescu,ROU,0,4,4,0.00
Sanchez Pages,ARG,0,0,3,0.00
Gallego,ARG,0,2,18,0.00
Danani,ARG,0,0,0,0
Armoa Morel,ARG,0,1,0,0.00
Zerba,ARG,0,0,7,0.00
Luengas,ARG,0,0,0,0
Giraudo,ARG,0,0,0,0
Ronkainen,FIN,0,1,11,0.00
Tervaportti,FIN,0,0,6,0.00
Suihkonen,FIN,0,3,20,0.00
Köykkä,FIN,0,0,0,0
Marttila,FIN,0,0,1,0.00
Savonsalmi,FIN,0,1,33,0.00
Breilin,FIN,0,0,0,0
Kaunisto,FIN,0,0,0,0
Saadat,IRI,0,0,0,0
Daneshdoust,IRI,0,0,4,0.00
Hazrat,IRI,0,0,0,0
A. Ramezani,IRI,0,0,1,0.00
Arshia,IRI,0,7,18,0.00
Yousef,IRI,0,2,14,0.00
Arman,IRI,0,0,0,0
Haghparast,IRI,0,2,11,0.00
Mohammad,IRI,0,2,18,0.00
Z. Osama,EGY,0,2,2,0.00
A. Seoudy,EGY,0,1,11,0.00
M. Reda,EGY,0,0,0,0
M. Ramadan,EGY,0,0,0,0
Asran,EGY,0,2,4,0.00
Deyo,EGY,0,3,4,0.00
Azab,EGY,0,0,6,0.00
A.Ellakany,EGY,0,0,3,0.00
Shchytkov,UKR,0,2,0,0.00
Boiko,UKR,0,0,0,0
Poluian,UKR,0,1,0,0.00
Kisiliuk,UKR,0,0,0,0
Pampushko,UKR,0,0,0,0
Todua,UKR,0,0,0,0
Uryvkin,UKR,0,0,0,0
Koval,UKR,0,0,0,0
D'Hulst,BEL,0,1,48,0.00
Coolman,BEL,0,1,31,0.00
Plaskie,BEL,0,0,0,0
Desmet,BEL,0,0,0,0
V. Hoyweghen,BEL,0,0,1,0.00
Verwimp K.,BEL,0,0,0,0
Dermaux,BEL,0,1,0,0.00
Lantsoght,BEL,0,0,0,0
Perin,BEL,0,3,2,0.00
Nikolić,SRB,0,1,1,0.00
Negic,SRB,0,0,0,0
Mašulović V.,SRB,0,0,0,0
Ivović,SRB,0,0,0,0
Jovović,SRB,0,1,28,0.00
Kujundžić,SRB,0,5,17,0.00
Perić,SRB,0,3,16,0.00
Mašulović N.,SRB,0,1,3,0.00
Stefanović,SRB,0,1,18,0.00
Todorović,SRB,0,0,0,0
Brborić,SRB,0,1,0,0.00
Nedeljković,SRB,0,0,14,0.00
Drahonovsky,CZE,0,0,0,0
Monik,CZE,0,0,0,0
Bartunek,CZE,0,3,13,0.00
Licek,CZE,0,0,0,0
Srb,CZE,0,0,0,0
Kovarik,CZE,0,0,0,0
Polak,CZE,0,0,0,0
Klimes,CZE,0,2,14,0.00
Benda,CZE,0,1,0,0.00
Grebennikov,FRA,0,0,0,0
Toniutti,FRA,0,0,3,0.00
Le Goff,FRA,0,0,6,0.00
Henno,FRA,0,2,5,0.00
Clevenot,FRA,0,2,8,0.00
Diez,FRA,0,0,0,0
Faure,FRA,0,0,1,0.00
Jouffroy,FRA,0,7,10,0.00
Huetz,FRA,0,2,3,0.00
Youngseok,KOR,0,2,21,0.00
Taejun,KOR,0,0,3,0.00
Jiwon,KOR,0,0,0,0
Kyeongmin,KOR,0,0,0,0
Sungjin,KOR,0,0,1,0.00
Gyeongbok,KOR,0,2,3,0.00
Changseong,KOR,0,0,1,0.00
Donghyeok,KOR,0,3,12,0.00
Hojin,KOR,0,0,0,0
Jihan,KOR,0,0,0,0
Matheus G.,BRA,0,1,5,0.00
Adriano,BRA,0,0,0,0
Matheus,BRA,0,0,0,0
Honorato,BRA,0,0,5,0.00
Judson,BRA,0,5,18,0.00
Maique,BRA,0,0,0,0
L. Bergmann,BRA,0,0,1,0.00
Flavio,BRA,0,1,21,0.00
Chizoba,BRA,0,0,0,0
Darlan,BRA,0,2,0,0.00
Jiang C.,CHN,0,1,10,0.00
Wang H.B.,CHN,0,2,9,0.00
Yu Y.T.,CHN,0,0,2,0.00
Yu Y.C.,CHN,0,1,21,0.00
Li Y.Z.,CHN,0,3,21,0.00
Ji D.S.,CHN,0,2,1,0.00
Zhang Z.J.,CHN,0,0,2,0.00
Qu Z.S.,CHN,0,0,0,0
Li T. Y.,CHN,0,0,0,0
Balaso,ITA,0,0,0,0
Sbertoli,ITA,0,0,4,0.00
Sani,ITA,0,0,5,0.00
Galassi,ITA,0,0,5,0.00
Anzani,ITA,0,1,18,0.00
Russo,ITA,0,2,17,0.00
Gargiulo,ITA,0,1,9,0.00
Pace,ITA,0,0,0,0
Porro L.,ITA,0,1,0,0.00
Bouyoucef,ALG,0,0,9,0.00
Arab,ALG,0,1,2,0.00
Zerouka,ALG,0,0,0,0
Amrat,ALG,0,1,0,0.00
Kadri,ALG,0,0,1,0.00
Ikken,ALG,0,6,10,0.00
Chikhi,ALG,0,2,14,0.00
Hosni,ALG,0,2,13,0.00
Dekkiche A,ALG,0,1,0,0.00
Abi Ayad,ALG,0,0,0,0
Farouk,ALG,0,1,1,0.00
Hamimes,ALG,0,4,10,0.00
